,True_longitude
428,16.848959
429,101.399541
430,0.179126
431,-80.129817
432,-84.225533
433,-117.943161
434,15.062412
435,-118.511439
436,-79.20938199999999
437,0.172221
438,-97.42676999999999
439,-87.607182
440,-84.334525
441,10.249525
442,9.645176
443,-77.142989
444,-99.605387
445,114.072726
446,-117.098301
447,-118.51445
448,-113.516682
449,-97.460406
450,-7.716058
451,-85.134526
452,9.181741
453,-82.169961
454,-93.42645999999999
455,18.252791000000002
456,130.575042
457,-74.000036
458,-97.188582
459,-0.44107700000000005
460,-104.96476000000001
461,0.12318
462,-79.210087
463,0.143354
464,8.970092999999999
465,-73.950815
466,2.405016
467,-122.024476
468,11.329724
469,7.229655
470,-2.03117
471,144.958645
472,8.952548
473,10.280122
474,15.067596
475,-105.31939799999999
476,-80.11027299999999
477,121.013575
478,-77.529741
479,11.328206
480,-3.720068
481,13.751801
482,-97.205423
483,-67.14862600000001
484,-80.685962
485,-2.726717
486,13.56691
487,-116.92438899999999
488,14.402185999999999
489,-78.659952
490,-122.63638300000001
491,18.012445
492,-112.04153600000001
493,-58.427814
494,18.284788
495,-2.988779
496,-122.671448
497,113.99820600000001
498,6.560117
499,-95.668104
500,72.561658
501,-93.382906
502,-117.08708999999999
503,14.292126000000001
504,-90.238136
505,-117.105148
506,-84.084577
507,14.416905999999999
508,18.36714
509,135.548451
510,9.523765
511,12.567947
512,-90.238136
513,-122.398366
514,-98.196224
515,-77.509135
516,-97.090901
517,-88.452842
518,-84.51029799999999
519,0.11515299999999999
520,-122.679648
521,-113.5359
522,-112.054763
523,-71.4118
524,16.197384
525,-84.085072
526,-113.512196
527,-84.354739
528,18.445501
529,-79.208765
530,-79.923249
531,16.581151000000002
532,-80.013274
533,14.17167
534,103.681455
535,8.952738
536,2.405742
537,-88.254902
538,-99.605213
539,8.950663
540,14.723828
541,-73.222654
542,-94.384661
543,-67.142016
544,-71.26231700000001
545,-84.695835
546,-71.24969499999999
547,-90.238062
548,-74.585093
549,-105.22428000000001
550,-122.426507
551,7.248766000000001
552,9.181056
553,-86.321711
