,0
674,38.886434
675,17.416092000000003
676,47.669343
677,-35.262945
678,26.230943
679,51.265321
680,32.825044
681,43.701995000000004
682,44.416843
683,-37.788231
684,50.001537
685,29.556155
686,45.411159000000005
687,47.65025
688,43.934484000000005
689,44.421541
690,43.490615999999996
691,48.746564
692,52.367048
693,39.954914
694,37.354558000000004
695,44.421106
696,50.08644
697,34.100619
698,39.411460999999996
699,44.425992
700,13.749770999999999
701,57.617377000000005
702,40.426116
703,47.62186
704,50.711915000000005
705,48.891363
706,46.060837
707,63.430606000000004
708,20.522606
709,55.932037
710,38.804402
711,53.81768100000001
712,32.914305
713,20.528697
714,33.317585
715,34.902787
716,38.987359000000005
717,34.101633
718,32.947314
719,46.037143
720,53.797291
721,52.692666
722,30.040084999999998
723,-37.610457000000004
724,50.185846000000005
725,45.985563
726,50.078687
727,46.519546000000005
728,39.70562
729,46.061372
730,35.797166
731,44.872997999999995
732,40.148684
733,32.214125
734,38.959989
735,50.132577000000005
736,46.142293
737,42.197764
738,53.683802
739,44.578253000000004
740,40.429319
741,50.037007
742,33.121882
743,46.005981
744,38.851277
745,40.043890999999995
746,44.418960999999996
747,42.276299
748,14.668060999999998
749,42.030592999999996
750,20.529153
751,44.874941
752,38.854853999999996
753,5.9711620000000005
754,41.588671000000005
755,47.178057
756,39.317877
757,53.6426
758,47.388092
759,55.524499
760,49.964859000000004
761,50.769021
762,39.59745
763,44.423332
764,41.37895
765,39.316251
766,34.009873999999996
767,42.007490999999995
768,19.25144
769,47.915556
770,-37.411478
771,50.057978000000006
772,52.365668
773,56.045857
774,41.805306
775,43.311338
776,32.839574
777,4.369643
778,34.266863
779,51.881387
780,53.68936600000001
781,50.085333
782,17.414869
783,52.358576
784,49.122371
785,44.550155
786,49.208601
787,53.642365000000005
788,47.47743
789,40.757779
790,48.887172
791,56.00079
792,48.217146
793,48.207609999999995
794,33.555310999999996
795,48.429282
796,39.432927
797,37.687517
798,53.465543999999994
799,44.334416
800,36.027743
801,43.021409999999996
802,29.939746000000003
803,26.231787
804,53.121880000000004
805,13.806420000000001
806,47.083777000000005
807,37.359596
808,20.531254999999998
809,38.786894000000004
810,52.708982999999996
811,49.601238
812,17.414858
813,42.198828000000006
814,3.134189
815,35.370542
816,40.929748
817,55.935543
818,33.172695000000004
819,38.890291
820,20.475864
821,48.208220000000004
822,49.780066
823,53.622268000000005
824,46.047794
825,53.436099
826,20.532314000000003
827,48.111453000000004
828,63.28623
829,30.036924
830,-23.017160999999998
831,44.334746
832,40.429319
833,43.771438
834,39.270514
835,47.916815
836,44.421106
837,46.522444
838,32.40998
839,43.489314
840,49.685524
841,38.637778000000004
842,44.353211
843,46.004865
844,51.305309
845,48.752134999999996
846,45.57578
847,49.591023
848,48.746404
849,-34.915375
850,48.205138
851,16.818542
852,48.842974
853,52.264084000000004
854,50.712187
855,47.034081
856,29.943725
857,41.805463
858,53.441990000000004
859,41.862346
860,41.60427
861,45.61909
862,32.933883
863,-22.982312
864,-22.998331
865,48.746406
866,55.951514
867,50.042598999999996
868,-22.982357
869,45.977004
870,4.877299
871,26.331490999999996
872,1.519834
873,41.666368
874,52.021845
875,19.253013
876,52.1537
877,53.413408999999994
878,-6.217841
879,20.525767000000002
880,44.429256
881,33.409979
882,14.683178
883,34.902768
884,35.778671
885,43.770511
886,42.278187
887,44.358932
888,28.290509000000004
889,41.854503
890,43.768367
891,20.526042
892,20.527231
893,41.891405999999996
894,17.415119
895,52.366025
896,49.120927
897,1.519743
898,44.484158
899,57.727121999999994
900,43.588571
901,51.270146999999994
902,42.398004
903,22.623168
904,49.143512
905,19.250894
906,49.183488
907,55.999280000000006
908,41.756645
909,51.418343
910,35.548969
911,46.004862
912,34.901253000000004
913,-23.02744
914,29.936133
915,50.086594
916,48.761368
917,53.586045999999996
918,50.080527000000004
919,20.526512
920,49.900847999999996
921,38.898787
922,43.768506
923,52.471126
924,20.526522
925,49.214796
926,46.49747
927,52.361917
928,42.290555
929,44.423418
930,3.025189
931,39.754321999999995
932,20.479549
933,50.721922
934,20.521142
935,55.935426
936,-41.304482
937,29.926633000000002
938,33.294134
939,34.897033
940,30.041531
941,44.419731
942,44.418155
943,35.698463000000004
944,40.563146
